episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,7132,3.0,1783,3.0,0.0,1783.0,0.967924
2,14264,2.0,1783,2.5,0.5,1783.0,0.9358299999999999
3,21384,2.0,1780,2.3333333333333335,0.4714045207910317,1782.0,0.90379
4,28508,-3.0,1781,1.0,2.345207879911715,1781.75,0.871732
5,35648,2.0,1785,1.2,2.1354156504062622,1782.4,0.839602
6,42764,4.0,1779,1.6666666666666667,2.211083193570267,1781.8333333333333,0.80758
7,49896,-1.0,1783,1.2857142857142858,2.249716535431946,1782.0,0.775486
8,57028,-3.0,1783,0.75,2.537222891273055,1782.125,0.743392
9,64140,-1.0,1778,0.5555555555555556,2.454524670486058,1781.6666666666667,0.711388
10,71276,-4.0,1784,0.1,2.7,1781.9,0.679276
11,78408,3.0,1783,0.36363636363636365,2.705977466570403,1782.0,0.6471819999999999
12,85544,2.0,1784,0.5,2.6299556396765835,1782.1666666666667,0.61507
13,92668,12.0,1781,1.3846153846153846,3.9717940441309496,1782.076923076923,0.583012
14,99788,0.0,1780,1.2857142857142858,3.843892584878203,1781.9285714285713,0.550972
15,106920,-5.0,1783,0.8666666666666667,4.030991055421593,1782.0,0.518878
16,114032,3.0,1778,1.0,3.9370039370059056,1781.75,0.48687400000000003
17,121156,-2.0,1781,0.8235294117647058,3.884135063345689,1781.7058823529412,0.454816
18,128288,4.0,1783,1.0,3.844187531556932,1781.7777777777778,0.42272199999999993
19,135424,-19.0,1784,-0.05263157894736842,5.826199304688275,1781.8947368421052,0.39061
20,142564,-7.0,1785,-0.4,5.877074101966046,1782.05,0.35848
21,149692,-9.0,1782,-0.8095238095238095,6.020750211275665,1782.047619047619,0.326404
22,156824,-18.0,1783,-1.5909090909090908,6.886476146695657,1782.090909090909,0.29430999999999996
23,163936,1.0,1778,-1.4782608695652173,6.755799860714793,1781.9130434782608,0.26230599999999993
24,171064,-9.0,1782,-1.7916666666666667,6.782201994108468,1781.9166666666667,0.23022999999999993
25,178208,-12.0,1786,-2.2,6.9397406291589885,1782.08,0.19808199999999998
26,185348,-11.0,1785,-2.5384615384615383,7.01224626158666,1782.1923076923076,0.165952
27,192464,-40.0,1779,-3.925925925925926,9.86924112781512,1782.0740740740741,0.13393
28,199576,-4.0,1778,-3.9285714285714284,9.691412146212496,1781.9285714285713,0.10192599999999996
29,206696,-13.0,1780,-4.241379310344827,9.665634725625996,1781.8620689655172,0.1
30,213816,4.0,1780,-3.966666666666667,9.617634266746105,1781.8,0.1
31,220928,-9.0,1778,-4.129032258064516,9.50294329781779,1781.6774193548388,0.1
32,228044,-5.0,1779,-4.15625,9.354508856027664,1781.59375,0.1
33,235180,-5.0,1784,-4.181818181818182,9.212818952842351,1781.6666666666667,0.1
34,242292,-3.0,1778,-4.147058823529412,9.07852136490356,1781.5588235294117,0.1
35,249420,-17.0,1782,-4.514285714285714,9.200532371464565,1781.5714285714287,0.1
36,256548,-19.0,1782,-4.916666666666667,9.378980636389958,1781.5833333333333,0.1
37,263688,-19.0,1785,-5.297297297297297,9.529087375447432,1781.6756756756756,0.1
38,270828,-14.0,1785,-5.526315789473684,9.50550212440769,1781.7631578947369,0.1
39,277956,-40.0,1782,-6.410256410256411,10.850305321753826,1781.7692307692307,0.1
40,285080,-10.0,1781,-6.5,10.72846680565308,1781.75,0.1
41,292192,-15.0,1778,-6.7073170731707314,10.677635397406695,1781.658536585366,0.1
42,299316,-23.0,1781,-7.095238095238095,10.838224955287002,1781.642857142857,0.1
43,306440,-44.0,1781,-7.953488372093023,12.06947618056064,1781.6279069767443,0.1
44,313560,-11.0,1780,-8.022727272727273,11.940170237029966,1781.590909090909,0.1
45,320700,-7.0,1785,-8.0,11.80771875606047,1781.6666666666667,0.1
46,327824,1.0,1781,-7.804347826086956,11.752186781186156,1781.6521739130435,0.1
47,334956,-18.0,1783,-8.02127659574468,11.719213831925263,1781.6808510638298,0.1
48,342088,-12.0,1783,-8.104166666666666,11.610411246185707,1781.7083333333333,0.1
49,349212,-5.0,1781,-8.040816326530612,11.499705734786096,1781.6938775510205,0.1
50,356328,-14.0,1779,-8.16,11.414657244087532,1781.64,0.1
51,363472,-3.0,1786,-8.058823529411764,11.324815307684794,1781.7254901960785,0.1
52,370612,-11.0,1785,-8.115384615384615,11.222665674966487,1781.7884615384614,0.1
53,377748,-18.0,1784,-8.30188679245283,11.197346224786928,1781.8301886792453,0.1
54,384864,-4.0,1779,-8.222222222222221,11.10833298602428,1781.7777777777778,0.1
55,391980,-9.0,1779,-8.236363636363636,11.007375438749547,1781.7272727272727,0.1
56,399100,-39.0,1780,-8.785714285714286,11.644609859308735,1781.6964285714287,0.1
